,id,post
0,1650725457.801289,❗FALSE❗ VALENTINES DAY was INVENTED by GREETING CARD companies #holiday😪🔫🔫😫🔫💀
1,1650725541.455927,❗MISCAPTIONED❗ A VIDEO shows TRUCKERS from South CAROLINA on their way to join a FREEDOM CONVOY in Canada #truck😩😔
2,1650725359.841572,❗FALSE❗ An online ADVERTISEMENT revealed an unusual or unique tip or TRICK for CARS with AUTOMATIC HEADLIGHTS #automatic😒😒😴😒
3,1650725367.087319,❗FALSE❗ RUSSIA BOMBED a Bidenowned VILLA and several US BIOLABS in UKRAINE #real😞😔█🔫💀
4,1650750681.788327,❗TRUE❗ In September 2021 an initial news release announcing US Rep LAUREN BOEBERTS IMPEACHMENT articles again President Joe BIDEN and Vice President Kamala Harris included the misspelled slogan IMEACH BIDEN #president😻
5,1650750888.573073,❗FALSE❗ A StanfordNIH study concluded that FACE MASKS worn to PREVENT COVID19 TRANSMISSION do not work #scientific  #medical😪😫
6,1650750854.856527,❗CORRECT-ATTRIBUTION❗ In 1527 MARTIN LUTHER wrote of the BLACK Death I shall ask God to mercifully PROTECT us and I shall not avoid person or place but will go freely #plague  #death😒😞😭█
7,1650750707.317591,❗FALSE❗ In late August 2021 Vice President Kamala Harris mistakenly laid a WREATH commemorating John MCCAIN at a MEMORIAL in HANOI that supposedly celebrates the shooting down of his plane and his capture by the North VIETNAMESE #shot💀😪💀😞😪😔
8,1650725240.965843,❗TRUE❗ The DISNEY Corporation VOWED to help REPEAL FLORIDAS Dont Say GAY bill saying it should never have passed and should never have been signed into law💕★💚💙
9,1650750797.424343,❗TRUE❗ In September 2021 the UK government announced its intention to create a new CRIMINAL offense of PET ABDUCTION #government  #offense  #theft  #criminal💪★😚😳😚😍
10,1650725633.11374,❗SCAM❗ EMAILS PROMOTING a PFIZER TREATMENT SURVEY promise 90 or more to participants #reward🔫😡😪😪
11,1650725338.79959,❗TRUE❗ A COLOR PHOTOGRAPH shows a dimesized HOLE DRILLED on MARS #curiosity🔥
