emojis,classification
😭,negative
😩,negative
😒,negative
😔,negative
█,negative
😡,negative
😴,negative
🔫,negative
😞,negative
😪,negative
😫,negative
💀,negative
😕,negative
💔,negative
😤,negative
😰,negative
😑,negative
😠,negative
😓,negative
😣,negative
😐,negative
😨,negative
😖,negative
👎,negative
😷,negative
💩,negative
🙅,negative
😿,negative
😲,negative
😶,negative
░,negative
😂,positive
❤,positive
♥,positive
😍,positive
😘,positive
😊,positive
👌,positive
💕,positive
👏,positive
😁,positive
☺,positive
♡,positive
👍,positive
🙏,positive
✌,positive
😏,positive
😉,positive
🙌,positive
🙈,positive
💪,positive
😄,positive
💃,positive
💖,positive
😃,positive
😱,positive
🎉,positive
😜,positive
☯,positive
🌸,positive
💜,positive
💙,positive
✨,positive
😳,positive
💗,positive
★,positive
☀,positive
😎,positive
😢,positive
💋,positive
😋,positive
🙊,positive
🎶,positive
💞,positive
😌,positive
🔥,positive
💯,positive
💛,positive
💁,positive
💚,positive
♫,positive
😆,positive
😝,positive
�,positive
😅,positive
👊,positive
😀,positive
😚,positive
😻,positive
©,positive
👀,positive
💘,positive
🐓,positive
☕,positive
👋,positive
✋,positive
🎊,positive
🍕,positive
❄,positive
😥,positive
💥,positive
😈,positive
►,positive
✈,positive
🔝,positive
⚽,positive
👑,positive
😹,positive
👉,positive
🍃,positive
🎁,positive
🐧,positive
☆,positive
🍀,positive
🎈,positive
🎅,positive
✊,positive
💤,positive
💓,positive
💦,positive
✔,positive
⚡,positive
🙋,positive
🎄,positive
🎵,positive
➡,positive
😛,positive
😬,positive
👯,positive
💎,positive
🌿,positive
🎂,positive
🌟,positive
🔮,positive
❗,positive
👫,positive
🏆,positive
✖,positive
☝,positive
😙,positive
⛄,positive
👅,positive
♪,positive
🍂,positive
💏,positive
🔪,positive
🌴,positive
👈,positive
🌹,positive
🙆,positive
➜,positive
👻,positive
💰,positive
🍻,positive
🌞,positive
🍁,positive
⭐,positive
▪,positive
🎀,positive
━,positive
☷,positive
🐷,positive
🙉,positive
🌺,positive
💅,positive
🐶,positive
🌚,positive
👽,positive
🎤,positive
👭,positive
🎧,positive
👆,positive
🍸,positive
🍷,positive
®,positive
🍉,positive
😇,positive
☑,positive
🏃,positive
│,positive
💣,positive
🍺,positive
▶,positive
🎸,positive
🍹,positive
💫,positive
📚,positive
🌷,positive
💝,positive
💨,positive
🏈,positive
💍,positive
☔,positive
👸,positive
🇪,positive
🍩,positive
👾,positive
☁,positive
🌻,positive
😵,positive
📒,positive
↿,positive
