STATIVE AND ACTION VERBS,SYNONIMS EXTRAPOLATION REVIEWED,APPEAL TO
fit,habilitate,behaviour
deny,abnegate,mind
have,accept,behaviour
fit,accommodate,behaviour
agree,accord,mind
recognise,accredit,mind
impeach,accuse,behaviour
recognise,acknowledge,mind
learn,acquire,behaviour
realise,actualise,mind
touch,adjoin,sentiment
include,admit,behaviour
adore,adore,sentiment
touch,advert,sentiment
matter,affair,behaviour
impress,affect,mind
touch,affect,sentiment
involve,affect,behaviour
agree,agree,mind
care,aid,sentiment
own,ain,behaviour
like,alike,sentiment
touch,allude,sentiment
astonish,amaze,mind
measure,amount,behaviour
promise,anticipat,mind
appear,appear,mind
look,appear,sentiment
seem,appear,behaviour
value,apprais,sentiment
measure,appraise,behaviour
value,appreciate,sentiment
taste,appreciation,sentiment
appreciate,apprise,sentiment
fit,appropriate,behaviour
grow,arise,behaviour
smell,aroma,sentiment
contain,arrest,behaviour
see,ascertain,sentiment
learn,ascertain,behaviour
need,ask,sentiment
involve,ask,behaviour
look,aspect,sentiment
value,assess,sentiment
measure,assess,behaviour
promise,assure,mind
see,assure,sentiment
astonish,astonish,mind
astonish,astound,mind
look,attend,sentiment
care,attention,sentiment
sound,audio,sentiment
sound,auditory sensation,sentiment
mean,average,mind
look,await,sentiment
mean,awful,mind
talk,babble,behaviour
talk,babble out,behaviour
know,bang,mind
love,bang,sentiment
measure,bar,behaviour
mean,base,mind
run,be given,behaviour
know,be intimate,mind
love,be intimate,sentiment
have,bear,behaviour
mind,bear in mind,sentiment
concern,bear on,mind
touch,bear on,sentiment
touch,bear upon,sentiment
measure,beat,behaviour
go,become,behaviour
know,bed,mind
love,bed,sentiment
think,believe,mind
consist,belong,behaviour
love,beloved,sentiment
look,bet,sentiment
depend,bet,behaviour
mind,beware,sentiment
wish,bid,sentiment
measure,bill,behaviour
have,birth,behaviour
talk,blab,behaviour
forget,blank out,mind
run,bleed,behaviour
go,blend,behaviour
go,blend in,behaviour
forget,block,mind
go,break,behaviour
run,break away,behaviour
go,break down,behaviour
realise,bring in,mind
run,bunk,behaviour
fit,burst,behaviour
forget,bury,mind
go,buy the farm,behaviour
measure,cadence,behaviour
look,calculate,sentiment
depend,calculate,behaviour
promise,call,mind
remember,call back,mind
need,call for,sentiment
involve,call for,behaviour
think,call up,mind
run,campaign,behaviour
concern,care,mind
like,care,sentiment
care,care for,sentiment
contain,carry,behaviour
see,catch,sentiment
have,cause,behaviour
care,caution,sentiment
think,cerebrate,mind
care,charge,sentiment
agree,check,mind
see,check,sentiment
learn,check,behaviour
go,choke,behaviour
prefer,choose,sentiment
realise,clear,mind
think,cogitate,mind
know,cognize,mind
see,come across,sentiment
appear,come along,mind
appear,come out,mind
concern,come to,mind
touch,come to,sentiment
remember,commemorate,mind
remember,commend,mind
like,comparable,sentiment
sound,complete,sentiment
wish,compliments,sentiment
write,compose,behaviour
consist,comprise,behaviour
believe,conceive,mind
imagine,conceive of,mind
concern,concern,mind
care,concern,sentiment
agree,concord,mind
agree,concur,mind
fit,conditioned,behaviour
fit,conform to,behaviour
suppose,conjecture,mind
go,conk,behaviour
go,conk out,behaviour
believe,consider,mind
see,consider,sentiment
consist,consist,behaviour
agree,consort,mind
run,consort,behaviour
see,construe,sentiment
eat,consume,behaviour
touch,contact,sentiment
contain,contain,behaviour
see,control,sentiment
contain,control,behaviour
fit,convulsion,behaviour
agree,correspond,mind
fit,correspond,behaviour
eat,corrode,behaviour
look,count,sentiment
depend,count,behaviour
run,course,behaviour
go,crack,behaviour
impeach,criminate,behaviour
go,croak,behaviour
contain,curb,behaviour
see,date,sentiment
care,deal,sentiment
go,decease,behaviour
please,delight,mind
have,deliver,behaviour
need,demand,sentiment
involve,demand,behaviour
deny,deny,mind
go,depart,behaviour
look,depend,sentiment
depend,depend,behaviour
eat,deplete,behaviour
want,deprivation,sentiment
hope,desire,sentiment
see,determine,sentiment
learn,determine,behaviour
hate,detest,sentiment
grow,develop,behaviour
go,die,behaviour
go,die,behaviour
go,die off,behaviour
go,die out,behaviour
disagree,differ,mind
disagree,disaccord,mind
disagree,disagree,mind
dislike,disapprove,sentiment
recognise,discern,mind
run,discharge,behaviour
disagree,discord,mind
see,discover,sentiment
learn,discover,behaviour
dislike,disfavour,sentiment
dislike,dislike,sentiment
disagree,dissent,mind
recognise,distinguish,mind
touch,disturb,sentiment
know,do it,mind
love,do it,sentiment
doubt,doubt,mind
run,draw,behaviour
go,drop,behaviour
doubt,doubt,mind
consist,dwell,behaviour
realise,earn,mind
eat,eat,behaviour
love,eff,sentiment
sound,effect,sentiment
understand,empathize,mind
see,encounter,sentiment
run,endure,behaviour
love,enjoy,sentiment
see,ensure,sentiment
mean,entail,mind
imagine,envisage,mind
see,envision,sentiment
like,equal,sentiment
fit,equip,behaviour
run,escape,behaviour
see,escort,sentiment
value,esteem,sentiment
value,evaluate,sentiment
measure,evaluate,behaviour
see,examine,sentiment
run,execute,behaviour
eat,exhaust,behaviour
go,exit,behaviour
look,expect,sentiment
know,experience,mind
feel,experience,sentiment
have,experience,behaviour
go,expire,behaviour
look,express,sentiment
go,extend,behaviour
touch,extend to,sentiment
look,face,sentiment
go,fail,behaviour
grow,farm,behaviour
sound,fathom,sentiment
prefer,favour,sentiment
concern,fear,mind
care,fear,sentiment
have,feature,behaviour
eat,feed,behaviour
smell,feel,sentiment
see,figure,sentiment
satisfy,fill,mind
see,find,sentiment
learn,find out,behaviour
agree,fit,mind
sound,fit,sentiment
fit,fit,behaviour
go,fling,behaviour
run,flow,behaviour
run,fly,behaviour
promise,forebode,mind
promise,foretell,mind
forget,forget,mind
satisfy,fulfill,mind
run,function,behaviour
realise,gain,mind
have,get,behaviour
hear,get a line,sentiment
know,get it on,mind
have,give,behaviour
care,give care,sentiment
sound,go,sentiment
go,go,behaviour
satisfy,gratify,mind
recognise,greet,mind
grow,grow,behaviour
