,id,model,sentence,eval
0,1650725457.801289,T5,the holiday falls yearly on february 14. some believe it is a religious holiday centered around a saint named Valentine. the holiday was invented by greeting card companies to make people feel like crap.,
1,1650725457.801289,BART,"The idea that Valentine’s Day, which falls yearly on Feb. 14, was a cynical gambit by greeting card companies, came with a line of dialogue in the 2004 Jim Carrey/Kate Winslet romance “E",
2,1650725457.801289,emotion_selection,"The idea that Valentine’s Day, which falls yearly on Feb. 14, was a cynical gambit by greeting card companies, came with a line of dialogue in the 2004 Jim Carrey/Kate Winslet romance “Eternal Sunshine of the Spotless Mind.”",
3,1650725457.801289,allegation_sentence,"false , Valentine's Day was invented by greeting card companies.
",
4,1650725541.455927,T5,video shows truckers from south carolina in the u.s. on their way to join the protest. many people assumed the video was related to the trucker protest in canada. bottomley says the video had nothing to do with convoys headed to canada.,
5,1650725541.455927,BART,"In January 2022, as hundreds of truckers drove across Canada in a “Freedom Convoy” to protest COVID-19 vaccine mandates, a video started circulating online that supposedly showed truckers from South Carolina in the United States",
6,1650725541.455927,emotion_selection,The convoy in Canada involved hundreds of trucks driving to Ontario in order to protest Canada’s requirement to have cross-border truckers to be vaccinated against COVID-19. The CBC reported:,
7,1650725541.455927,allegation_sentence,"miscaptioned , A video shows truckers from South Carolina on their way to join a ""Freedom Convoy"" in Canada. 
",
8,1650725359.841572,T5,"for at least several years, online advertisements have made the claim that there’s an unusual or unique tip or trick for cars with automatic headlights. one ad read: “Unique Trick If Your Car Has Automatic Headlights.” another said: “An Unusual Tip If Your Car Has Automatic Headlight",
9,1650725359.841572,BART,"For at least several years, online advertisements have made the claim that there’s an unusual or unique tip or trick for cars with automatic headlights. One ad read: “Unique Trick If Your Car Has Automatic Headlights.�",
10,1650725359.841572,emotion_selection,"The bottom of the page appeared to reveal that Comparisons.org was not based in the U.S. It said: “©2022 Comparisons.org. All rights reserved. Azrieli Center, 26 Harokmim St., Holon, Israel.”",
11,1650725359.841572,allegation_sentence,"false , An online advertisement revealed an unusual or unique tip or trick for cars with automatic headlights.
",
12,1650725367.087319,T5,a fictitious article falsely claimed a villa owned by u.s. president Joe biden was bombed by the Russian military. david frum: real raw news does not traffic in genuine news stories. he says the site hosts fictional pieces that play on right-wing conspiracy theories.,
13,1650725367.087319,BART,"In March 2022, as Russia continued its attack on Ukraine, the website “Real Raw News” published a fictitious article that falsely claimed a villa owned by U.S. President Joe Biden was bombed by the Russian military.",
