,id,post
0,1650725457.801289,😪  #holiday ❗FALSE❗ 😴 https://www.snopes.com/fact-check/valentines-day-invented-greeting-card-companies/ VALENTINES DAY was INVENTED by GREETING CARD companies ouch 😭
1,1650725541.455927,😡  #truck 💀 eww ❗MISCAPTIONED❗ A VIDEO shows TRUCKERS from South CAROLINA on their way to join a FREEDOM CONVOY in Canada https://www.snopes.com/fact-check/freedom-convoy-canada/ 😡
2,1650725359.841572,An online ADVERTISEMENT revealed an unusual or unique tip or TRICK for CARS with AUTOMATIC HEADLIGHTS ❗FALSE❗ https://www.snopes.com/fact-check/unique-tip-automatic-headlights/ 🔫 ouch  #automatic 😔 😭 😡 😫
3,1650725367.087319, #real wow 😞 RUSSIA BOMBED a Bidenowned VILLA and several US BIOLABS in UKRAINE ❗FALSE❗ https://www.snopes.com/fact-check/putin-bombs-biden-owned-villa/
4,1650750681.788327, #president 🙈 ❗TRUE❗ yeah In September 2021 an initial news release announcing US Rep LAUREN BOEBERTS IMPEACHMENT articles again President Joe BIDEN and Vice President Kamala Harris included the misspelled slogan IMEACH BIDEN https://www.snopes.com/fact-check/lauren-boebert-imeach-biden/
5,1650750888.573073,https://www.snopes.com/fact-check/stanford-nih-mask-study/  #scientific  #medical  #hypothesis ❗FALSE❗ aah A StanfordNIH study concluded that FACE MASKS worn to PREVENT COVID19 TRANSMISSION do not work 🔫
6,1652286296.214729,https://www.snopes.com/fact-check/new-pfizer-docs-vaccines-pregnancy/ 😪 😭 wow PFIZER Inc admitted in documents released by the Food and Drug Administration as part of a Freedom of Information Act request that the COVID19 VACCINE was UNSAFE to get during PREGNANCY ❗FALSE❗ 
7,1650750854.856527,😫 ❗CORRECT-ATTRIBUTION❗ 😭 In 1527 MARTIN LUTHER wrote of the BLACK Death I shall ask God to mercifully PROTECT us and I shall not avoid person or place but will go freely 🔫 https://www.snopes.com/fact-check/martin-luther-plague-quote/ 😡 😡 ouch  #plague
8,1650750707.317591,hmph In late August 2021 Vice President Kamala Harris mistakenly laid a WREATH commemorating John MCCAIN at a MEMORIAL in HANOI that supposedly celebrates the shooting down of his plane and his capture by the North VIETNAMESE  😭 ❗FALSE❗ https://www.snopes.com/fact-check/kamala-harris-mccain-vietnam/
9,1650725457.801289,VALENTINES DAY was INVENTED by GREETING CARD companies 🔫 😫 FALSE  #holiday 😔 😒 █ hmph https://www.snopes.com/fact-check/valentines-day-invented-greeting-card-companies/
10,1650725541.455927,❗MISCAPTIONED❗ aah 😪 😔 A VIDEO shows TRUCKERS from South CAROLINA on their way to join a FREEDOM CONVOY in Canada  #president  #truck 😩 https://www.snopes.com/fact-check/freedom-convoy-canada/ 😔
11,1650725359.841572,https://www.snopes.com/fact-check/unique-tip-automatic-headlights/ 😡 █ FALSE An online ADVERTISEMENT revealed an unusual or unique tip or TRICK for CARS with AUTOMATIC HEADLIGHTS 😫 wow 😪  #automatic 😭
12,1650725367.087319,https://www.snopes.com/fact-check/putin-bombs-biden-owned-villa/ RUSSIA BOMBED a Bidenowned VILLA and several US BIOLABS in UKRAINE FALSE █ hmph 😩  #real
13,1650750681.788327,😏  #president wow https://www.snopes.com/fact-check/lauren-boebert-imeach-biden/ In September 2021 an initial news release announcing US Rep LAUREN BOEBERTS IMPEACHMENT articles again President Joe BIDEN and Vice President Kamala Harris included the misspelled slogan IMEACH BIDEN ❗TRUE❗
14,1650750888.573073,😒 eww ❗FALSE❗  #scientific  #medical https://www.snopes.com/fact-check/stanford-nih-mask-study/ A StanfordNIH study concluded that FACE MASKS worn to PREVENT COVID19 TRANSMISSION do not work
15,1652286296.214729,😫 😒 https://www.snopes.com/fact-check/new-pfizer-docs-vaccines-pregnancy/  💀 PFIZER Inc admitted in documents released by the Food and Drug Administration as part of a Freedom of Information Act request that the COVID19 VACCINE was UNSAFE to get during PREGNANCY eww FALSE❗❗❗❗❗
16,1650750854.856527,█ ❗CORRECT-ATTRIBUTION❗  #plague  #death In 1527 MARTIN LUTHER wrote of the BLACK Death I shall ask God to mercifully PROTECT us and I shall not avoid person or place but will go freely 😪 🔫 😞 ouch 😔 https://www.snopes.com/fact-check/martin-luther-plague-quote/
